Year,Week,Region,VCI,TCI,VHI
1982,1,Черкаська,45.01,39.46,42.23
1982,2,Черкаська,46.83,31.75,39.29
1982,3,Черкаська,48.13,27.24,37.68
1982,4,Черкаська,46.09,23.91,35.0
1982,5,Черкаська,41.46,26.65,34.06
1982,6,Черкаська,36.56,29.46,33.01
1982,7,Черкаська,32.17,31.14,31.65
1982,8,Черкаська,30.3,32.5,31.4
1982,9,Черкаська,28.23,35.22,31.73
1982,10,Черкаська,25.25,37.63,31.44
1982,11,Черкаська,26.81,34.79,30.8
1982,12,Черкаська,27.87,35.91,31.89
1982,13,Черкаська,26.45,40.3,33.37
1982,14,Черкаська,22.93,45.47,34.2
1982,15,Черкаська,16.15,59.42,37.78
1982,16,Черкаська,13.92,73.7,43.81
1982,17,Черкаська,15.91,83.78,49.85
1982,18,Черкаська,25.98,83.95,54.97
1982,19,Черкаська,34.53,77.2,55.86
1982,20,Черкаська,38.39,70.79,54.59
1982,21,Черкаська,38.62,71.8,55.21
1982,22,Черкаська,34.9,75.39,55.14
1982,23,Черкаська,29.29,77.99,53.64
1982,24,Черкаська,27.5,80.68,54.09
1982,25,Черкаська,27.46,86.21,56.84
1982,26,Черкаська,27.71,89.14,58.43
1982,27,Черкаська,29.53,88.81,59.17
1982,28,Черкаська,34.04,88.18,61.11
1982,29,Черкаська,39.85,87.0,63.42
1982,30,Черкаська,43.47,85.68,64.58
1982,31,Черкаська,44.62,81.04,62.83
1982,32,Черкаська,46.78,73.25,60.01
1982,33,Черкаська,50.98,66.04,58.51
1982,34,Черкаська,54.79,59.39,57.09
1982,35,Черкаська,60.47,50.47,55.47
1982,36,Черкаська,65.8,40.42,53.11
1982,37,Черкаська,67.37,32.84,50.1
1982,38,Черкаська,68.18,30.2,49.19
1982,39,Черкаська,64.53,31.4,47.97
1982,40,Черкаська,54.93,35.92,45.43
1982,41,Черкаська,44.69,37.53,41.11
1982,42,Черкаська,36.32,36.38,36.35
1982,43,Черкаська,35.06,34.47,34.76
1982,44,Черкаська,35.39,22.51,28.95
1982,45,Черкаська,32.35,16.01,24.18
1982,46,Черкаська,32.21,15.45,23.83
1982,47,Черкаська,29.41,21.78,25.6
1982,48,Черкаська,28.24,31.16,29.7
1982,49,Черкаська,25.02,38.86,31.94
1982,50,Черкаська,22.98,43.6,33.29
1982,51,Черкаська,28.58,44.64,36.61
1982,52,Черкаська,31.78,42.52,37.15
1983,1,Черкаська,32.51,38.52,35.52
1983,2,Черкаська,32.31,36.91,34.61
1983,3,Черкаська,34.9,37.82,36.36
1983,4,Черкаська,37.87,39.24,38.56
1983,5,Черкаська,37.32,42.44,39.88
1983,6,Черкаська,32.86,49.14,41.0
1983,7,Черкаська,29.76,53.18,41.47
1983,8,Черкаська,29.39,54.87,42.13
1983,9,Черкаська,30.87,53.78,42.32
1983,10,Черкаська,32.35,50.97,41.66
1983,11,Черкаська,34.28,42.77,38.52
1983,12,Черкаська,37.17,38.0,37.59
1983,13,Черкаська,42.6,31.26,36.93
1983,14,Черкаська,45.99,24.17,35.08
1983,15,Черкаська,46.97,21.68,34.32
1983,16,Черкаська,46.18,25.21,35.7
1983,17,Черкаська,47.39,27.73,37.56
1983,18,Черкаська,49.4,32.15,40.77
1983,19,Черкаська,50.29,39.52,44.91
1983,20,Черкаська,48.31,43.63,45.97
1983,21,Черкаська,44.7,46.47,45.58
1983,22,Черкаська,41.82,49.3,45.56
1983,23,Черкаська,37.5,54.92,46.21
1983,24,Черкаська,30.08,62.73,46.41
1983,25,Черкаська,27.35,63.44,45.4
1983,26,Черкаська,26.21,61.74,43.97
1983,27,Черкаська,24.03,63.71,43.87
1983,28,Черкаська,19.88,67.51,43.7
1983,29,Черкаська,14.97,71.1,43.03
1983,30,Черкаська,12.14,74.52,43.33
1983,31,Черкаська,13.27,76.96,45.11
1983,32,Черкаська,18.15,75.06,46.6
1983,33,Черкаська,24.55,70.56,47.56
1983,34,Черкаська,31.25,63.13,47.19
1983,35,Черкаська,42.25,48.99,45.62
1983,36,Черкаська,48.6,40.95,44.78
1983,37,Черкаська,51.48,35.49,43.49
1983,38,Черкаська,52.88,31.98,42.43
1983,39,Черкаська,52.2,35.99,44.1
1983,40,Черкаська,52.61,37.45,45.03
1983,41,Черкаська,51.99,34.42,43.21
1983,42,Черкаська,51.57,35.55,43.56
1983,43,Черкаська,50.1,39.02,44.56
1983,44,Черкаська,48.14,37.49,42.81
1983,45,Черкаська,45.55,36.55,41.05
1983,46,Черкаська,42.99,35.13,39.06
1983,47,Черкаська,42.57,39.45,41.01
1983,48,Черкаська,46.31,41.52,43.91
1983,49,Черкаська,45.1,41.4,43.25
1983,50,Черкаська,45.56,40.56,43.06
1983,51,Черкаська,44.21,42.68,43.44
1983,52,Черкаська,41.31,47.96,44.63
1984,1,Черкаська,40.77,49.92,45.35
1984,2,Черкаська,39.32,52.12,45.72
1984,3,Черкаська,37.37,57.52,47.44
1984,4,Черкаська,34.55,59.96,47.25
1984,5,Черкаська,31.21,60.19,45.7
1984,6,Черкаська,27.71,62.24,44.98
1984,7,Черкаська,24.61,64.98,44.79
1984,8,Черкаська,22.89,71.12,47.0
1984,9,Черкаська,22.16,71.96,47.06
1984,10,Черкаська,20.48,70.03,45.26
1984,11,Черкаська,20.45,62.93,41.69
1984,12,Черкаська,22.3,54.75,38.52
1984,13,Черкаська,24.99,45.15,35.07
1984,14,Черкаська,27.85,34.54,31.19
1984,15,Черкаська,29.68,30.8,30.24
1984,16,Черкаська,28.91,37.09,33.0
1984,17,Черкаська,28.76,42.4,35.58
1984,18,Черкаська,30.62,49.05,39.84
1984,19,Черкаська,33.37,58.5,45.94
1984,20,Черкаська,35.18,66.14,50.66
1984,21,Черкаська,35.93,73.96,54.94
1984,22,Черкаська,34.85,79.34,57.09
1984,23,Черкаська,34.85,85.04,59.94
1984,24,Черкаська,38.86,89.15,64.01
1984,25,Черкаська,44.4,89.9,67.15
1984,26,Черкаська,47.19,90.66,68.92
1984,27,Черкаська,49.22,90.06,69.64
1984,28,Черкаська,54.02,87.25,70.64
1984,29,Черкаська,55.66,86.36,71.01
1984,30,Черкаська,55.34,86.59,70.96
1984,31,Черкаська,52.99,87.95,70.47
1984,32,Черкаська,52.46,85.79,69.12
